met,split,value,src,trg,model
r2,4,-0.0974221214636708,CCLE,CTRPv2,hidra
r2,5,-0.1593651458242169,CCLE,CTRPv2,hidra
r2,6,-0.1305467058100851,CCLE,CTRPv2,hidra
r2,7,-0.27105433918015076,CCLE,CTRPv2,hidra
r2,8,-0.14124214363211363,CCLE,CTRPv2,hidra
r2,9,-0.13564560104368328,CCLE,CTRPv2,hidra
mse,0,0.029875359206583692,CCLE,GDSCv1,hidra
mse,1,0.030142906265441433,CCLE,GDSCv1,hidra
mse,2,0.029851433680877056,CCLE,GDSCv1,hidra
mse,3,0.033479589303361645,CCLE,GDSCv1,hidra
mse,4,0.03014246005397231,CCLE,GDSCv1,hidra
mse,5,0.029932766223391874,CCLE,GDSCv1,hidra
mse,6,0.030196881316273124,CCLE,GDSCv1,hidra
mse,7,0.02808035611178318,CCLE,GDSCv1,hidra
mse,8,0.029878546139350936,CCLE,GDSCv1,hidra
mse,9,0.028818982584797023,CCLE,GDSCv1,hidra
rmse,0,0.17284489927846783,CCLE,GDSCv1,hidra
rmse,1,0.17361712549584915,CCLE,GDSCv1,hidra
rmse,2,0.17277567444775627,CCLE,GDSCv1,hidra
rmse,3,0.18297428590750572,CCLE,GDSCv1,hidra
rmse,4,0.17361584044657996,CCLE,GDSCv1,hidra
rmse,5,0.1730108846962869,CCLE,GDSCv1,hidra
rmse,6,0.17377249873404343,CCLE,GDSCv1,hidra
rmse,7,0.16757194309246157,CCLE,GDSCv1,hidra
rmse,8,0.17285411808617965,CCLE,GDSCv1,hidra
rmse,9,0.16976154624883993,CCLE,GDSCv1,hidra
pcc,0,0.20484888779333357,CCLE,GDSCv1,hidra
pcc,1,0.28801740895411465,CCLE,GDSCv1,hidra
pcc,2,0.29633068442161226,CCLE,GDSCv1,hidra
pcc,3,0.19367834152732935,CCLE,GDSCv1,hidra
pcc,4,0.26377898037226427,CCLE,GDSCv1,hidra
pcc,5,0.26594905278443787,CCLE,GDSCv1,hidra
pcc,6,0.2689677006490768,CCLE,GDSCv1,hidra
pcc,7,0.27652474902417906,CCLE,GDSCv1,hidra
pcc,8,0.3035635356660875,CCLE,GDSCv1,hidra
pcc,9,0.3396857216237262,CCLE,GDSCv1,hidra
scc,0,0.11405158328100476,CCLE,GDSCv1,hidra
scc,1,0.17790714930417106,CCLE,GDSCv1,hidra
scc,2,0.16304621035247507,CCLE,GDSCv1,hidra
scc,3,0.13719248781717566,CCLE,GDSCv1,hidra
scc,4,0.15245429648750242,CCLE,GDSCv1,hidra
scc,5,0.16222186498522442,CCLE,GDSCv1,hidra
scc,6,0.162518157604945,CCLE,GDSCv1,hidra
scc,7,0.17676350069143107,CCLE,GDSCv1,hidra
scc,8,0.1720658694391703,CCLE,GDSCv1,hidra
scc,9,0.2188622162185746,CCLE,GDSCv1,hidra
r2,0,-0.11664098154623437,CCLE,GDSCv1,hidra
r2,1,-0.12664099554930885,CCLE,GDSCv1,hidra
r2,2,-0.11574672543622988,CCLE,GDSCv1,hidra
r2,3,-0.25135504490376204,CCLE,GDSCv1,hidra
r2,4,-0.12662431765735738,CCLE,GDSCv1,hidra
r2,5,-0.1187866637839965,CCLE,GDSCv1,hidra
r2,6,-0.12865840238023418,CCLE,GDSCv1,hidra
r2,7,-0.049549770900142454,CCLE,GDSCv1,hidra
r2,8,-0.1167600984314483,CCLE,GDSCv1,hidra
r2,9,-0.07715715744632479,CCLE,GDSCv1,hidra
mse,0,0.02706620406798437,CCLE,GDSCv2,hidra
mse,1,0.027813973666480578,CCLE,GDSCv2,hidra
mse,2,0.02555030945021109,CCLE,GDSCv2,hidra
mse,3,0.028184182270855864,CCLE,GDSCv2,hidra
mse,4,0.025540356042793342,CCLE,GDSCv2,hidra
mse,5,0.025673141537891207,CCLE,GDSCv2,hidra
mse,6,0.025174737626565715,CCLE,GDSCv2,hidra
mse,7,0.02421970029194724,CCLE,GDSCv2,hidra
mse,8,0.02596808601741042,CCLE,GDSCv2,hidra
mse,9,0.025750866211315032,CCLE,GDSCv2,hidra
rmse,0,0.1645180964756898,CCLE,GDSCv2,hidra
rmse,1,0.1667752189819596,CCLE,GDSCv2,hidra
rmse,2,0.15984464160618925,CCLE,GDSCv2,hidra
rmse,3,0.16788145302818852,CCLE,GDSCv2,hidra
rmse,4,0.15981350394379487,CCLE,GDSCv2,hidra
rmse,5,0.16022840427930127,CCLE,GDSCv2,hidra
rmse,6,0.15866548971520467,CCLE,GDSCv2,hidra
