met,split,value,src,trg,model
r2,1,-0.22208323573190336,CCLE,CTRPv2,deepttc
r2,2,-0.17849880489503178,CCLE,CTRPv2,deepttc
r2,3,-0.21362203823060777,CCLE,CTRPv2,deepttc
r2,4,-0.1987069642965249,CCLE,CTRPv2,deepttc
r2,5,-0.13361795981962366,CCLE,CTRPv2,deepttc
r2,6,-0.22043585217215078,CCLE,CTRPv2,deepttc
r2,7,-0.24722062814306045,CCLE,CTRPv2,deepttc
r2,8,-0.19950232407059776,CCLE,CTRPv2,deepttc
r2,9,-0.28836740566322727,CCLE,CTRPv2,deepttc
mse,0,0.026066819427707347,CCLE,GDSCv1,deepttc
mse,1,0.026133037942305457,CCLE,GDSCv1,deepttc
mse,2,0.025885203162382225,CCLE,GDSCv1,deepttc
mse,3,0.02677671776823311,CCLE,GDSCv1,deepttc
mse,4,0.02659530826904735,CCLE,GDSCv1,deepttc
mse,5,0.02561805585832267,CCLE,GDSCv1,deepttc
mse,6,0.025956473933232523,CCLE,GDSCv1,deepttc
mse,7,0.026383766076945446,CCLE,GDSCv1,deepttc
mse,8,0.026159127352041414,CCLE,GDSCv1,deepttc
mse,9,0.02689327113301152,CCLE,GDSCv1,deepttc
rmse,0,0.16145222026255118,CCLE,GDSCv1,deepttc
rmse,1,0.16165716174146277,CCLE,GDSCv1,deepttc
rmse,2,0.16088879128883474,CCLE,GDSCv1,deepttc
rmse,3,0.16363593055387657,CCLE,GDSCv1,deepttc
rmse,4,0.16308068024461803,CCLE,GDSCv1,deepttc
rmse,5,0.16005641461160708,CCLE,GDSCv1,deepttc
rmse,6,0.1611101298281164,CCLE,GDSCv1,deepttc
rmse,7,0.1624308039657055,CCLE,GDSCv1,deepttc
rmse,8,0.16173783525211846,CCLE,GDSCv1,deepttc
rmse,9,0.16399168007253148,CCLE,GDSCv1,deepttc
pcc,0,0.27207855157399585,CCLE,GDSCv1,deepttc
pcc,1,0.2750475198910844,CCLE,GDSCv1,deepttc
pcc,2,0.26020037384327477,CCLE,GDSCv1,deepttc
pcc,3,0.24450022235637872,CCLE,GDSCv1,deepttc
pcc,4,0.26615443934942085,CCLE,GDSCv1,deepttc
pcc,5,0.2631218324947928,CCLE,GDSCv1,deepttc
pcc,6,0.2801041111542,CCLE,GDSCv1,deepttc
pcc,7,0.2721295342151062,CCLE,GDSCv1,deepttc
pcc,8,0.2583577894918922,CCLE,GDSCv1,deepttc
pcc,9,0.2683256842495857,CCLE,GDSCv1,deepttc
scc,0,0.14811444277730743,CCLE,GDSCv1,deepttc
scc,1,0.16702870609350423,CCLE,GDSCv1,deepttc
scc,2,0.14964869976904466,CCLE,GDSCv1,deepttc
scc,3,0.13566865221730506,CCLE,GDSCv1,deepttc
scc,4,0.1607320408403818,CCLE,GDSCv1,deepttc
scc,5,0.15455683826065592,CCLE,GDSCv1,deepttc
scc,6,0.16353209493417734,CCLE,GDSCv1,deepttc
scc,7,0.16337145313899626,CCLE,GDSCv1,deepttc
scc,8,0.14474680667686607,CCLE,GDSCv1,deepttc
scc,9,0.1577109527116374,CCLE,GDSCv1,deepttc
r2,0,0.025709494226628715,CCLE,GDSCv1,deepttc
r2,1,0.023234467679631665,CCLE,GDSCv1,deepttc
r2,2,0.03249770264196761,CCLE,GDSCv1,deepttc
r2,3,-0.0008241308347911591,CCLE,GDSCv1,deepttc
r2,4,0.005956349353977819,CCLE,GDSCv1,deepttc
r2,5,0.042482775148033114,CCLE,GDSCv1,deepttc
r2,6,0.029833839658178096,CCLE,GDSCv1,deepttc
r2,7,0.013863088797467227,CCLE,GDSCv1,deepttc
r2,8,0.022259332823709843,CCLE,GDSCv1,deepttc
r2,9,-0.0051805056903611035,CCLE,GDSCv1,deepttc
mse,0,0.022460019361763367,CCLE,GDSCv2,deepttc
mse,1,0.02260863820252259,CCLE,GDSCv2,deepttc
mse,2,0.021991174631118944,CCLE,GDSCv2,deepttc
mse,3,0.022957744685809987,CCLE,GDSCv2,deepttc
mse,4,0.0228210677116116,CCLE,GDSCv2,deepttc
mse,5,0.021775636297843758,CCLE,GDSCv2,deepttc
mse,6,0.02280658397255853,CCLE,GDSCv2,deepttc
mse,7,0.022254873591116848,CCLE,GDSCv2,deepttc
mse,8,0.022284843532762288,CCLE,GDSCv2,deepttc
mse,9,0.022503589290237602,CCLE,GDSCv2,deepttc
rmse,0,0.149866671951316,CCLE,GDSCv2,deepttc
rmse,1,0.15036169127315172,CCLE,GDSCv2,deepttc
rmse,2,0.14829421644527796,CCLE,GDSCv2,deepttc
rmse,3,0.15151813319141041,CCLE,GDSCv2,deepttc
rmse,4,0.15106643476170212,CCLE,GDSCv2,deepttc
rmse,5,0.14756570163098118,CCLE,GDSCv2,deepttc
rmse,6,0.15101848884344768,CCLE,GDSCv2,deepttc
rmse,7,0.14918067432183316,CCLE,GDSCv2,deepttc
rmse,8,0.149281088999117,CCLE,GDSCv2,deepttc
rmse,9,0.15001196382368176,CCLE,GDSCv2,deepttc
pcc,0,0.3523842220660472,CCLE,GDSCv2,deepttc
pcc,1,0.3486666459363688,CCLE,GDSCv2,deepttc
pcc,2,0.34084708258160035,CCLE,GDSCv2,deepttc
pcc,3,0.3273328738392204,CCLE,GDSCv2,deepttc
pcc,4,0.34871725231039097,CCLE,GDSCv2,deepttc
pcc,5,0.3376047234432531,CCLE,GDSCv2,deepttc
pcc,6,0.3476392816154524,CCLE,GDSCv2,deepttc
pcc,7,0.37073125843989596,CCLE,GDSCv2,deepttc
pcc,8,0.3389443480971114,CCLE,GDSCv2,deepttc
pcc,9,0.3754719001486637,CCLE,GDSCv2,deepttc
scc,0,0.28656219657187776,CCLE,GDSCv2,deepttc
scc,1,0.2858494448873472,CCLE,GDSCv2,deepttc
scc,2,0.2672328493406793,CCLE,GDSCv2,deepttc
scc,3,0.2708945226452696,CCLE,GDSCv2,deepttc
scc,4,0.2744501889097117,CCLE,GDSCv2,deepttc
scc,5,0.2888046389645062,CCLE,GDSCv2,deepttc
scc,6,0.2799444721541016,CCLE,GDSCv2,deepttc
scc,7,0.30165014422035175,CCLE,GDSCv2,deepttc
scc,8,0.27539074235105143,CCLE,GDSCv2,deepttc
scc,9,0.3030054815495941,CCLE,GDSCv2,deepttc
r2,0,0.04290098374774476,CCLE,GDSCv2,deepttc
r2,1,0.0365678215186257,CCLE,GDSCv2,deepttc
r2,2,0.06288007740955903,CCLE,GDSCv2,deepttc
r2,3,0.021691188229053138,CCLE,GDSCv2,deepttc
r2,4,0.02751546626918311,CCLE,GDSCv2,deepttc
r2,5,0.07206491039743823,CCLE,GDSCv2,deepttc
r2,6,0.02813266842631701,CCLE,GDSCv2,deepttc
r2,7,0.05164295373946959,CCLE,GDSCv2,deepttc
r2,8,0.05036583099064329,CCLE,GDSCv2,deepttc
r2,9,0.04104431857710533,CCLE,GDSCv2,deepttc
mse,0,0.035719061046346895,CCLE,gCSI,deepttc
mse,1,0.036201324822910344,CCLE,gCSI,deepttc
mse,2,0.035120972050192274,CCLE,gCSI,deepttc
mse,3,0.03709255335154827,CCLE,gCSI,deepttc
mse,4,0.03728251664642784,CCLE,gCSI,deepttc
mse,5,0.03763751519328071,CCLE,gCSI,deepttc
mse,6,0.034359163954665047,CCLE,gCSI,deepttc
mse,7,0.03380170469742967,CCLE,gCSI,deepttc
mse,8,0.03634319931592795,CCLE,gCSI,deepttc
mse,9,0.03482861332321392,CCLE,gCSI,deepttc
rmse,0,0.18899487042337126,CCLE,gCSI,deepttc
rmse,1,0.19026645742986426,CCLE,gCSI,deepttc
rmse,2,0.18740590185528383,CCLE,gCSI,deepttc
rmse,3,0.19259427133626864,CCLE,gCSI,deepttc
rmse,4,0.19308681116644877,CCLE,gCSI,deepttc
rmse,5,0.19400390509801782,CCLE,gCSI,deepttc
rmse,6,0.1853622506193347,CCLE,gCSI,deepttc
rmse,7,0.18385239921586466,CCLE,gCSI,deepttc
rmse,8,0.19063892392669435,CCLE,gCSI,deepttc
rmse,9,0.18662425706004546,CCLE,gCSI,deepttc
pcc,0,0.4036162518738053,CCLE,gCSI,deepttc
pcc,1,0.3873359522368335,CCLE,gCSI,deepttc
pcc,2,0.40752632259456556,CCLE,gCSI,deepttc
pcc,3,0.40110387305242895,CCLE,gCSI,deepttc
pcc,4,0.4101543462511422,CCLE,gCSI,deepttc
pcc,5,0.395936530269329,CCLE,gCSI,deepttc
pcc,6,0.4184480177219778,CCLE,gCSI,deepttc
pcc,7,0.44034065529491073,CCLE,gCSI,deepttc
pcc,8,0.39796879689478043,CCLE,gCSI,deepttc
pcc,9,0.4349676376871165,CCLE,gCSI,deepttc
scc,0,0.41106609606347094,CCLE,gCSI,deepttc
scc,1,0.3692491326232063,CCLE,gCSI,deepttc
scc,2,0.37863195053834586,CCLE,gCSI,deepttc
scc,3,0.4074412289380427,CCLE,gCSI,deepttc
scc,4,0.41662453131159405,CCLE,gCSI,deepttc
scc,5,0.4011472319819146,CCLE,gCSI,deepttc
scc,6,0.4172135897353854,CCLE,gCSI,deepttc
scc,7,0.43511732540645337,CCLE,gCSI,deepttc
scc,8,0.3871227621836894,CCLE,gCSI,deepttc
scc,9,0.41967344064568685,CCLE,gCSI,deepttc
