src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.008307538737572258,0.009883290430344839,0.010128614564628671,0.01473141714695129,0.01698645462223224
CTRPv2,0.014182404420353173,0.00207259066288129,0.007525057076058275,0.012157996616098714,0.017457280024848466
GDSCv1,0.047540861417503216,0.0165011017072099,0.003313003116421551,0.022914260581782656,0.015104721312662661
GDSCv2,0.024129399557509788,0.013178804220904353,0.007947074420407324,0.0058453671718459565,0.013324453843346578
gCSI,0.029494690075677125,0.018235827784457995,0.01719056917871386,0.020323844651219614,0.012710769224671532
