src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.009468838041783272,0.02946129590968002,0.04367655612806944,0.024864331435140802,0.037561124174396505
CTRPv2,0.011003354906669338,0.002164499637995878,0.007257008549547034,0.01262743859492309,0.01911956824174195
GDSCv1,0.013937841290187245,0.009344519692336677,0.003366268250197971,0.005433364753183538,0.01576060572965928
GDSCv2,0.019381722418106165,0.011445149619553984,0.006752871162851115,0.0054436385052613525,0.01973489335608273
gCSI,0.06145528826864639,0.04759982575215234,0.03487313449460575,0.05424052951534339,0.012512498068575944
