src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.009776583195235245,0.019261397597953655,0.025316850215749184,0.04029861474796104,0.04344519304259714
CTRPv2,0.010390707606442591,0.0029765396686488497,0.019893724545863398,0.013937709946255749,0.05427153373669938
GDSCv1,0.03123531918023424,0.01731200605844884,0.003838871865974139,0.006620040160705884,0.010796427178136203
GDSCv2,0.027136853972985042,0.016973260670023256,0.023517799494129108,0.005037838866929376,0.012758868743759815
gCSI,0.03106915956810562,0.014304797728023932,0.020150400688293647,0.022614502617299876,0.014349206147783632
