src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.02533665685379426,0.0566015498013276,0.06556332928449973,0.0743452113729658,0.11771843156799415
CTRPv2,0.028919414290652284,0.035721604373032075,0.01482616168345184,0.01791533229311982,0.03171428834946164
GDSCv1,0.02619791468373286,0.04259199744827612,0.036317244479457785,0.03878469626180993,0.015893243297162643
GDSCv2,0.04592267684457611,0.05977284755225409,0.02704843662517139,0.04371692054212299,0.017741975026581924
gCSI,0.043183299381307313,0.024545665441171708,0.03333396819530713,0.03372394450265341,0.036594660521865954
