src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.006172699063136834,0.0023365641464254735,0.0025657191283857913,0.0037315973837537446,0.007736698867696473
CTRPv2,0.005791333074906829,0.0017851421255805557,0.004000692169595964,0.00726671651262264,0.00543571472351177
GDSCv1,0.02460374000436061,0.010196863088553608,0.003864820392744936,0.0031429933665394864,0.0030216406334702666
GDSCv2,0.006662361048310886,0.0030533034783908884,0.002485162786517841,0.004427312395463015,0.003488496848605841
gCSI,0.01738940093431198,0.0082157490175697,0.010813637852586313,0.00992865425023227,0.011235996117276435
