src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.011845532039642401,0.028036259885040903,0.022462759277803623,0.03736024079388212,0.04209353600046102
CTRPv2,0.012472870191402955,0.002722310922455411,0.00955570074392755,0.01683064398295616,0.016438882761697235
GDSCv1,0.009886035676557397,0.015711425391422198,0.004497722364075457,0.013994756226086896,0.024911990780372605
GDSCv2,0.05629437372833983,0.019147996379450225,0.00869369770135603,0.0037159461588154906,0.022244438652785633
gCSI,0.026414686202542434,0.021565461886759212,0.013329752448711787,0.02079143796380403,0.010808132545733186
