src,CCLE,CTRPv2,GDSCv1,GDSCv2,gCSI
CCLE,0.005675432365146572,0.012136576262421699,0.012703650643942863,0.01312141733194572,0.024744767120705908
CTRPv2,0.0017275237455912469,0.0022670076347562386,0.005504686041046411,0.005578504769167244,0.016695777825693325
GDSCv1,0.009891198642649686,0.0053948064795854974,0.003473646632727489,0.004814778710139202,0.004826558906755967
GDSCv2,0.01285719477908236,0.008958490751863678,0.004567255823711726,0.004594408057406343,0.007025367431453869
gCSI,0.025045789986284102,0.009196640843137706,0.01127082994965194,0.017543558171014665,0.012700405730914733
